SN,Term,Post_Link,Post_Text,Village,TA,Date,Time_Hrs,Other information
22,flooding in nkhotakota,https://web.facebook.com/photo/?fbid=812787527560683&set=a.471600205012752,"As floods devastate communities in Malawi, 281,980 women of reproductive age in Nkhotakota, Karonga, and Nkhata bay face unprecedented challenges. UNFPA Malawi is stepping in, providing dignity kits to restore their sense of dignity amidst the crisis. 
But we can't stop there. The kits are just an entry - opening doors to crucial conversations on protection and access to sexual and reproductive health services. Let's stand together to support the women and adolescent girls  in their time of need. #MalawiFloods  #reproductivehealth",,,11-Mar-24,19:56,
12,flooding in nkhotakota,https://web.facebook.com/MwizaMpandeOfficialPage/videos/968612161520064/,"A sad tale of a family that was affected by floods in Nkhotakota, Dwangwa. 😢😢",,,09-Mar-24,19:53,
14,flooding in nkhotakota,https://web.facebook.com/roderick.godsolovesyou/videos/961396768150436/,"Help these kids go back to school. Most of them will need notebooks, uniforms, and clothes to replace the ones that got washed away. 
To make donations please get in touch with the following:
Anthony Chingala - +265 995 56 57 68, Dwangwa in Need: Unite for Flood Relief
George Zibophe - +265 999 60 97 39, DODMA acting Disaster Officer for Nkhotakota",,,09-Mar-24,13:31,
29,flooding in nkhotakota,https://web.facebook.com/photo/?fbid=811354257690613&set=pcb.811354314357274,"#ZBSNews
This is a house of a teacher at Chauma Primary School which has been temporarily closed due to floods in Nkhotakota district.
The government owned Junior Primary School was opened in 1995 according to Headmaster, Dustan Kwacha.
It has three makeshift houses and one which was constructed using cement bricks.
Kwacha says two houses of this nature were constructed under the School Improvement Grant - SIG to reduce the challenge of shortage of teacher houses.
There is also a borehole which was submerged in water during the floods but is now being used although the headmaster says sometimes frogs have been coming out together with water meant for drinking.
( by Winstone Kaimira - Nkhotakota : 03/09/24)
#malawismostfollowedpage",,,09-Mar-24,14:44,
34,flooding in nkhotakota,https://web.facebook.com/photo/?fbid=3540320636219232&set=pcb.3540322092885753,"For the past 2 weeks, since the 28th of February when flash floods hit Nkhotakota Dwangwa, we Malawi-Hilfe Schwindegg e.V. have been very busy on the ground, helping victims get to safety and providing relief items.
The biggest highlight was when we took a boat to 2  isolated camps called chauma and kachere. No one has been able to reach victims on these sites because they have been cut off from main land and the only access would be through a 1hr boat ride or Illovo farms, but unfortunately the bridge on that side has also collapsed due to floods as you may see in the pictures. Many thanks to the team from National emergency medical team(N-EMT) WHO Malawi WaruAttah Chilongo and Dr L.Mapata who joined the trip and checked on sick victims.
These 2 camps collectively hold a population of over 900 victims and need relief support immediately. We were able to distribute 50 blankets, 40 bags of flour, 10 bales of soya pieces, cooking oil, soap, salt and nutritious peanut butter for the kids.
Reaching this date, we have reached out to 13 camps namely Dwambadzi, Kasitu, Ngala, Dema, Mtupi, Nkhunga, Kanyenda, Dwangwa Masijid, Matiki, Nyamvuwu, Chauma and Kachere. Holding a collective population of over 5000 victims.
In a space of 6 days we have distributed 140 bags of flour, 100 litres cooking oil, 533 blankets, 1550 cups, 700 plates, 200 buckets, 200kgs Salt, 95 kilos bonya, 200 buckets and 366 reusable sanitary pads. 
We are calling on different organisations and the government to come and provide support to the victims. More especially, tents, mosquito nets, blankets, chlorine, medical supplies, Sanitary pads, buckets, and food rations. I understand Department of Disaster Management Affairs Malawi Red Cross Society - MRCS DWANGWA ILLOVO SUGAR GROUP and many other organisations are already on the ground.
Above all, I would like to thank hon. Henry Chimunthu Banda for your rock solid support. You have been with us day and night, travelling to all the camps and providing support with your personal resources including crew, cars, fuel, food and relief items.
Thanks to Mala KayiraKondwanie ÐzekedèkéFai Malengah for driving several times between Lilongwe and Dwangwa to drop off items that we could not get from Dwangwa.
The work still continues!
#Malawihilfeschwindegg 
#AlifeSavedIsAlifeWorthCelebrating.
#CollectivePowerBuildsNations.
#ResilienceisButaProductOfCommonWill.",,,09-Mar-24,09:10,
51,https://web.facebook.com/photo/?fbid=3540320636219232&set=pcb.3540322092885753,,"For the past 2 weeks, since the 28th of February when flash floods hit Nkhotakota Dwangwa, we Malawi-Hilfe Schwindegg e.V. have been very busy on the ground, helping victims get to safety and providing relief items.
The biggest highlight was when we took a boat to 2  isolated camps called chauma and kachere. No one has been able to reach victims on these sites because they have been cut off from main land and the only access would be through a 1hr boat ride or Illovo farms, but unfortunately the bridge on that side has also collapsed due to floods as you may see in the pictures. Many thanks to the team from National emergency medical team(N-EMT) WHO Malawi WaruAttah Chilongo and Dr L.Mapata who joined the trip and checked on sick victims.
These 2 camps collectively hold a population of over 900 victims and need relief support immediately. We were able to distribute 50 blankets, 40 bags of flour, 10 bales of soya pieces, cooking oil, soap, salt and nutritious peanut butter for the kids.
Reaching this date, we have reached out to 13 camps namely Dwambadzi, Kasitu, Ngala, Dema, Mtupi, Nkhunga, Kanyenda, Dwangwa Masijid, Matiki, Nyamvuwu, Chauma and Kachere. Holding a collective population of over 5000 victims.
In a space of 6 days we have distributed 140 bags of flour, 100 litres cooking oil, 533 blankets, 1550 cups, 700 plates, 200 buckets, 200kgs Salt, 95 kilos bonya, 200 buckets and 366 reusable sanitary pads. 
We are calling on different organisations and the government to come and provide support to the victims. More especially, tents, mosquito nets, blankets, chlorine, medical supplies, Sanitary pads, buckets, and food rations. I understand Department of Disaster Management Affairs Malawi Red Cross Society - MRCS DWANGWA ILLOVO SUGAR GROUP and many other organisations are already on the ground.
Above all, I would like to thank hon. Henry Chimunthu Banda for your rock solid support. You have been with us day and night, travelling to all the camps and providing support with your personal resources including crew, cars, fuel, food and relief items.
Thanks to Mala KayiraKondwanie ÐzekedèkéFai Malengah for driving several times between Lilongwe and Dwangwa to drop off items that we could not get from Dwangwa.
The work still continues!
#Malawihilfeschwindegg 
#AlifeSavedIsAlifeWorthCelebrating.
#CollectivePowerBuildsNations.
#ResilienceisButaProductOfCommonWill.",,,09-Mar-24,09:10,
59,https://web.facebook.com/watch/?v=968612161520064,,"A sad tale of a family that was affected by floods in Nkhotakota, Dwangwa.  😢😢",,,09-Mar-24,19:53,
24,flooding in nkhotakota,https://web.facebook.com/photo/?fbid=952423002921325&set=pcb.952423359587956,"I have inspected some of the shelter camps mounted across all the five constituencies in Nkhotakota District to appreciate the level of damage rendered on communities following recent devastating floods.
Though the physical and emotional damage I have witnessed is enormous, we are already executing a multi-sectoral response plan to provide food, shelter, comfort and hope to affected communities.
My administration is already rehabilitating critical infrastructure to aid movement of people and relief items. We are also standing steady to commence renovation of all public infrastructure once the waters recede fully.
I have once again reminded the affected communities and all people of Nkhotakota to be mindful of contemporary weather patterns and become climate conscious in usage of natural resources. This is the only way of adopting climate resilience, going forward.",,,07-Mar-24,16:28,
35,flooding in nkhotakota,https://web.facebook.com/photo/?fbid=1869721466812871&set=pcb.7411486845577310,"𝐂𝐇𝐀𝐊𝐖𝐄𝐑𝐀 𝐂𝐎𝐌𝐅𝐎𝐑𝐓𝐒 𝐅𝐋𝐎𝐎𝐃 𝐕𝐈𝐂𝐓𝐈𝐌𝐒 𝐈𝐍 𝐍𝐊𝐇𝐎𝐓𝐀𝐊𝐎𝐓𝐀 
His Excellency, Dr. Lazarus McCarthy Chakwera, President of the Republic of Malawi today offered hope to the hundreds of victims of devastating floods, when he visited some of the affected areas in Nkhotakota.
The district was severely impacted by floods just over a week ago, following a downpour of torrential rain that persisted for over two days. The unrelenting rain caused the banks of rivers to burst, subsequently destroying infrastructure including roads, bridges and homes; and more poignantly the loss of life.
His Excellency started by inspecting Mkhoma Bridge before proceeding to Dwangwa Trading Centre, which was particularly affected, where he visited one of five relief camps that were set up by authorities, to provide shelter to the victims of the disaster. So far the district  has recorded at least seven deaths as a result of the floods.
As part of the inspection, His Excellency also paid a visit to Illovo Sugar Plant in Dwangwa, where the sugar manufacturer has set up a temporary relief camp, within its compound, for the victims surrounding the area and beyond.
Addressing the victims at the camps and a crowd that gathered at Dwangwa Trading Centre, His Excellency, offered hope and re-assurance but emphasized that the Nkhotakota floods and other natural calamities of this scale affect everyone, and as such require a unified front in addressing the aftermath of such disasters.
President Chakwera also called on more effort to be invested in climate change resilience including in the form of creating infrastructure like roads and bridges that can withstand future natural shocks.
President Chakwera stated that we must learn from these disasters in order to counter the effects of reoccurrences. He added that this can only be achieved if we review the designs of infrastructure in order to make improvements.",,,07-Mar-24,20:46,
58,https://web.facebook.com/search/top/?q=flooding%20in%20Dwangwa,,"𝐂𝐇𝐀𝐊𝐖𝐄𝐑𝐀 𝐂𝐎𝐌𝐅𝐎𝐑𝐓𝐒 𝐅𝐋𝐎𝐎𝐃 𝐕𝐈𝐂𝐓𝐈𝐌𝐒 𝐈𝐍 𝐍𝐊𝐇𝐎𝐓𝐀𝐊𝐎𝐓𝐀 
His Excellency, Dr. Lazarus McCarthy Chakwera, President of the Republic of Malawi today offered hope to the hundreds of victims of devastating floods, when he visited some of the affected areas in Nkhotakota.
The district was severely impacted by floods just over a week ago, following a downpour of torrential rain that persisted for over two days. The unrelenting rain caused the banks of rivers to burst, subsequently destroying infrastructure including roads, bridges and homes; and more poignantly the loss of life.
His Excellency started by inspecting Mkhoma Bridge before proceeding to Dwangwa Trading Centre, which was particularly affected, where he visited one of five relief camps that were set up by authorities, to provide shelter to the victims of the disaster. So far the district  has recorded at least seven deaths as a result of the floods.
As part of the inspection, His Excellency also paid a visit to Illovo Sugar Plant in Dwangwa, where the sugar manufacturer has set up a temporary relief camp, within its compound, for the victims surrounding the area and beyond.
Addressing the victims at the camps and a crowd that gathered at Dwangwa Trading Centre, His Excellency, offered hope and re-assurance but emphasized that the Nkhotakota floods and other natural calamities of this scale affect everyone, and as such require a unified front in addressing the aftermath of such disasters.
President Chakwera also called on more effort to be invested in climate change resilience including in the form of creating infrastructure like roads and bridges that can withstand future natural shocks.
President Chakwera stated that we must learn from these disasters in order to counter the effects of reoccurrences. He added that this can only be achieved if we review the designs of infrastructure in order to make improvements.",,,07-Mar-24,20:46,
15,flooding in nkhotakota,https://web.facebook.com/photo/?fbid=3668971350007222&set=pcb.3668974050006952,Most people has no basic needs including houses at Chiluwa bay in Nkhotakota because they have damaged with water as lake Malawi expand and river floods. Pray with us,,,06-Mar-24,15:06,
16,flooding in nkhotakota,https://web.facebook.com/photo/?fbid=908073134657020&set=pcb.908073801323620,"Some of the heroes responding to the flooding in Karonga and Nkhotakota last week were the commercial fishermen who used their boats to rescue survivors stranded on rooftops and in trees. Through our MOMENTUM Tikweze Umoyo Project, which is implemented by Amref Health Africa, USAID - US Agency for International Development is proud to have played a part by providing fuel to motorboat operators in Ngala and Dwangwa. #MalawiMatters",,,06-Mar-24,15:58,Ngala and Dwangwa
21,flooding in nkhotakota,https://web.facebook.com/photo/?fbid=809600317866007&set=a.637876698371704,"#ZBSNews
Notable progress has been made in rehabilitation of two spots that were washed away by floods on the M5 road at Kaombe in Nkhotakota district.
This work is being done jointly by Kelvin Investments Construction Company and CR 20 Construction Company of China according to Public Relations Officer for the Roads Authority, Portia Kajanga.
The road is temporarily closed from Nkhotakota to Dwambazi due to the damage and similar ones at Walemela , Dwangwa and Kasitu.
The floods in Nkhotakota have claimed six lives.
(by Winstone Kaimira-Nkhotakota: 03/04/24)
#malawismostfollowedpage",,,06-Mar-24,18:17,
31,flooding in nkhotakota,https://web.facebook.com/photo/?fbid=810871394405566&set=a.637876698371704,"#ZBSNews
Hundreds of people that were affected by floods at Chauma and Kachere in Nkhotakota district are still staying in their areas which are considered as disaster prone sites by some officials.
Some of the people told us today they cannot move upland despite the fact that they lost property during the floods as they  need to protect their land, livestock and other remaining property.
Today member of parliament Henry Chimunthu Banda visited the areas which have a public primary school called Chauma to provide humanitarian support.
A representative of the people, Andrew Mzembe, said they feel abandoned as no one has visited them for any support  before the visit by the parliamentarian.
But John Manda who is one of the leaders at Nkhotakota District Council in the disaster response operation says all people in the areas were moved upland  adding that those who are remaining, are doing that on their own wish.
(by Winstone Kaimira-Nkhotakota :03/08/24)
#malawismostfollowedpage",,,06-Mar-24,18:00,
36,flooding in nkhotakota,https://web.facebook.com/photo/?fbid=993551198801739&set=pcb.993551442135048,"Founder and president of Salvation for all ministries international Apostle Clifford Kawinga who is also the owner of Creck hardware has reached out to residents of Mtachi village in the area of Traditional Authority Mwadzama in Nkhotakota district with 2,000 bags of maize, and  flour weighing 20 kgs.
The donation follows floods that affected most parts of the district which have left most people in dire need of basic needs.
Apostle Kawinga has also donated 100 bibles to chiefs to enhance their spiritual life.
The donation is valued at K60 Million.",,,05-Mar-24,20:53,
42,https://web.facebook.com/photo/?fbid=10225827191973372&set=pcb.10225827228734291,,"CRY MY BELOVED TOWN!
Motion and still pictures of Dwangwa Township's Flood aftermath!
The people here desperately needs our help and that of the international community!
Please!",,,05-Mar-24,14:22,
38,flooding in nkhotakota,https://web.facebook.com/photo/?fbid=808344711324901&set=a.637876698371704,"#ZBSNews Parliamentarian for Nkhotakota North Constituency, Henry Chimunthu Banda has called on government to consider bailing out Dwangwa based business operators who lost property worth millions of kwacha in the recent floods through initiatives such as provision of loans. The member of parliament told us today after visiting floods survivors at Nkhunga Community Day Secondary School Camp that some people were operating large scale businesses such as lodges, garages and restaurants which have been damaged, hence the call. Meanwhile, the legislator says he is working with various stakeholders to establish temporary camps which will not disturb classes in public schools. In partnership with stakeholders such as Illovo Sugar Limited, Ethanol, The Malawi Red Cross Society and other well wishers, Chimunthu Banda reached out to a number of camps of the flood survivors in the constituency with relief items. (by Winstone Kaimira-Nkhotakota :03/04/24) #malawismostfollowedpage",,,04-Mar-24,,
1,flooding in nkhotakota,https://web.facebook.com/photo/?fbid=943845290432094&set=pcb.943845390432084,May the Lord preserve the people of Nkhotakota 🇲🇼 my home district which has been affected by the floods.,,,03-Mar-24,10:42,
30,flooding in nkhotakota,https://web.facebook.com/photo/?fbid=807541971405175&set=a.637876698371704,"#ZBSNews
A contractor has today started working on the damaged sections of the M5 road near Kaombe Bridge in Nkhotakota district.
During our visit to the site we found the contractor commencing construction of a culvert at a first place that was washed away by the recent floods.
There are similar damages at Dwangwa and near Kasitu in the district.
(by Winstone Kaimira -Nkhotakota :03/03/24)
#malawismostfollowedpage",,,03-Mar-24,13:49,
37,flooding in nkhotakota,https://web.facebook.com/photo/?fbid=800482088772408&set=pcb.800483152105635,"Yesterday, 2 March 2024, @WHO Malawi took swift action, donating Interagency Emergency Health Kit 2017 (IEHK2017) Supplementary modules and cholera Rapid Diagnostic Test kits valued at USD2426 to Department of Disaster Management Affairs in Lilongwe. This response addresses the recent flooding crisis in Nkhotakota (Feb 27 - Mar 1, 2024). The supplies aim to support an estimated 3,000 people within one month or 1,000 people over three months, affected by heavy rainfall. 
Meanwhile, 7 dedicated WHO Malawi officers are on the ground in Nkhotakota, collaborating with the Ministry of Health and partners to efficiently coordinate the emergency humanitarian response to the affected population.  #HealthForAll #emergencyresponseteam #communitysupport",,,03-Mar-24,09:00,
46,https://web.facebook.com/ethcomw/videos/390046233642739,,"What a joy to see companies, organisations and individuals assisting flood victims in Dwangwa. 
The clip below was produced by Creative Image for Ethanol Company Limited.",,,03-Mar-24,22:27,
18,flooding in nkhotakota,https://web.facebook.com/reel/722366713345855,Let us pray and those near flood areas should  continue to assist the victims .See what is happening in Nkhotakota difficult times,,,02-Mar-24,17:20,
23,flooding in nkhotakota,https://web.facebook.com/reel/722366713345855,Let us pray and those near flood areas should  continue to assist the victims .See what is happening in Nkhotakota difficult times,,,02-Mar-24,17:20,
27,flooding in nkhotakota,https://web.facebook.com/photo/?fbid=806264201532952&set=a.637876698371704,"#ZBSNews
The Society of Medical Doctor in Malawi says it is mobilizing logistical support to deploy a team of ten medical doctors to support provision of health services to thousands of people that have been affected by floods in Nkhotakota district.
In an interview this morning, President for the body, Dr. Victor Mithi said they plan to have services such as provision of psychosocial support offered in ten days.
""We are calling upon other stakeholders and well wishers to help us in terms of logistical support, but the team is ready and we are talking to different stakeholders so that the team can go"", said Dr. Mithi.
About 7000 people have been rendered homeless by the floods in Nkhotakota district.
(by Winstone Kaimira -Nkhotakota:03/01/24)",,,01-Mar-24,12:22,
6,flooding in nkhotakota,https://web.facebook.com/davis.banda.56/videos/717834407127696,This is the situation at Nkhotakota. . Using a boat to cross the other side of the road bcz of flooding water,,,29-Feb-24,17:50,
10,flooding in nkhotakota,https://web.facebook.com/photo/?fbid=3347093982256346&set=pcb.3347094075589670,"This is my home floods Dwangwa Trading center nkhotakota North! 
Your prayers are needed!",,,29-Feb-24,15:10,
28,flooding in nkhotakota,https://web.facebook.com/photo/?fbid=811654184326844&set=pcb.811651747660421,"About 7,000 people displaced by floods in Nkhotakota
The Department of Disaster Management Affairs (DoDMA) says about 7,000  have been displaced by flash floods following heavy downpour in Nkhotakota  and Karonga Districts.
Read more at: https://malawi24.com/.../about-7000-people-displaced-by.../",,,29-Feb-24,19:40,
40,https://web.facebook.com/photo/?fbid=10161515886765539&set=pcb.10161515896325539,,Update on our situation. We were in Dwangwa Town this week when the storm hit the area and the rivers flooded. The Dwangwa River bridge is flooded and the road is damaged as is the river further South near Nkhotakhota. The bridge 25km north is broken with only a foot crossing available. Given and Vicky were able to cross over and get transport back to Kande. We are safe and staying with Dan and Trish at Ngala Lodge 20km north of Dwangwa until the roads are repaired and we can drive back. Just another adventure in Malawi.,,,29-Feb-24,15:31,
41,https://web.facebook.com/photo/?fbid=3601726156705930&set=pcb.3601727373372475,,"DWANGWA FLOODS.
Pictures taken a day after the floods (29.02.2024)
📸: Creative Image",,,29-Feb-24,19:05,
44,https://web.facebook.com/photo/?fbid=3601400476738498&set=pcb.3601401166738429,,"28.02.2024 DWANGWA FLOODS. 
📸: Creative Image 
#flood #Nkhotakota #Malawi #malawinews #Africanews",,,29-Feb-24,18:48,
47,https://web.facebook.com/davis.banda.56/videos/1877839786014538/,,"
This is Dwangwa road washed away by flooding water",,,29-Feb-24,17:48,
53,https://web.facebook.com/noel.frank.3910/videos/281128128339902/,,"Flooding at Dwangwa, it is not safe place right now,,",,,29-Feb-24,17:01,
55,https://web.facebook.com/photo/?fbid=924073846394735&set=a.490729949729129,,Dwangwa floods disaster,,,29-Feb-24,16:14,
60,https://web.facebook.com/photo/?fbid=802568485233321&set=a.430837935739713,,"DWANGWA FLOODS UPDATE ‼️
Mvula ikugwabe ndipo anthu ochuluka akusowa pokhala.
Adindo kapena ku boma pakadali pano palibe chomwe akuchitapo pa ngoziyi.
Anthu ena omwe tayankhula nawo ati choti adye palibe komanso zofunda ndi zovala zonse zapita ndi madzi.
Pakadali pano anthuwa ali pa sukulu ya Dwangwa Primary, Kanyenda primary ndi Nkhunga CDSS.
😭😭😭😭😭",,,29-Feb-24,08:32,
61,https://web.facebook.com/photo/?fbid=7879610318820151&set=a.135369916577602,,Terrible! Dwangwa-Nkhotakota floods. Prayers,,,29-Feb-24,05:10,
63,https://web.facebook.com/photo/?fbid=955009526195893&set=pcb.955010149529164,,Floods in Dwangwa,,,29-Feb-24,20:46,
68,https://web.facebook.com/photo/?fbid=936084927906748&set=a.110783693770213,,Dwangwa flash floods 😢😢😢,,,29-Feb-24,21:40,
3,flooding in nkhotakota,https://web.facebook.com/photo/?fbid=2090231771341079&set=pcb.2090229594674630,"Several people are reportedly in dire need of help after being trapped by flooding water in some parts of Nkhotakota following a heavy downpour. Nkhotakota District Council’s acting disaster risk management officer George Zibophe has told  Malawi that they hava]e sourced boats locally for a rescue mission. “Communities around nkhotakota Bua, Dwangwa and Kaombe rivers are the most affected. Many houses have been damaged but no verification has been done due to persistent rainfall and impassable roads,”. The heavy downpour, which started yesterday in the lakeshore district, has submerged a stretch from Kaombe Bridge to Kaombe road block on the M5 road, rendering it impassable.",,,28-Feb-24,17:36,"Bua, dwangwa and Kaombe rivers flooded"
