"","Post_Text","Term","Post_Link","Village","TA","Date","Time_Hrs","Other Information"
"11","#ZBSNews
A contractor has today started working on the damaged sections of the M5 road near Kaombe Bridge in Nkhotakota district.
During our visit to the site we found the contractor commencing construction of a culvert at a first place that was washed away by the recent floods.
There are similar damages at Dwangwa and near Kasitu in the district.
(by Winstone Kaimira -Nkhotakota :03/03/24)
#malawismostfollowedpage","flooding in nkhotakota, nkhotakota floods","https://web.facebook.com/photo/?fbid=807541971405175&set=a.637876698371704",NA,NA,2024-03-03,"0.5756944444444444",NA
"12","#ZBSNews
A report on the status of irrigation farming after the recent flood disaster in Nkhotakota district shows that eight irrigation schemes have been damaged.
It further indicates that over K900 million is needed for rehabilitation and general recovery.
Principal Irrigation Engineer for Nkhotakota District Council, Vincent Phiri, says the report has since been sent to various bodies for support and some short term initiatives will be carried out.
According to the report, the eight irrigation schemes are Bua, Lipimbi, Chilingali, Chiwale, Karweya, Kakasi B, Chitsanzo and Chithowe.
Some crops, water pipes, pillars and canals are some of the those that were  washed away by the floods.
(by Winstone Kaimira–Nkhotakota:03/14/24)
#malawismostfollowedpage","nkhotakota floods",NA,NA,NA,2024-03-14,"0.70625000000000004",NA
"13","#ZBSNews
A search and rescue exercise continues this morning at Dwangwa and other areas affected by floods in Nkhotakota district.
Nkhotakota District Commissioner Ben Tonho, told us in an interview this morning that boats and some officers from the Malawi Defense Force are expected to join the operation.
Most parts of the district continued receiving rains last night.
A preliminary   assessment report by the district council shows that about 6000 people who are homeless in Dwangwa and in the area of senior chief Mphonde have camped in various primary schools.
( by Winstone Kaimira–Nkhotakota:02/29/24)","nkhotakota floods",NA,NA,NA,2024-02-29,"0.84166666666666667",NA
"14","#ZBSNews
Hundreds of people that were affected by floods at Chauma and Kachere in Nkhotakota district are still staying in their areas which are considered as disaster prone sites by some officials.
Some of the people told us today they cannot move upland despite the fact that they lost property during the floods as they  need to protect their land, livestock and other remaining property.
Today member of parliament Henry Chimunthu Banda visited the areas which have a public primary school called Chauma to provide humanitarian support.
A representative of the people, Andrew Mzembe, said they feel abandoned as no one has visited them for any support  before the visit by the parliamentarian.
But John Manda who is one of the leaders at Nkhotakota District Council in the disaster response operation says all people in the areas were moved upland  adding that those who are remaining, are doing that on their own wish.
(by Winstone Kaimira-Nkhotakota :03/08/24)
#malawismostfollowedpage","nkhotakota floods, flooding in nkhotakota",NA,NA,NA,2024-03-08,"0.75",NA
"15","#ZBSNews
Leader of the Democratic Progressive Party - DPP in parliament, Mary Navicha today visited Katimbila and Senjere camps of people that are homeless due to floods in Nkhotakota district.
The people including Ireen Kasiya of Senjere camp expressed worry over what they called ""limited humanitarian support"" they are getting from  government since the disaster occurred.
They said for instance, 13 bags of maize and two tins of Usipa have been provided for Katimbila camp of over 1000 affected people prompting them to share maize flour in a cup to prepare meals.
In her remarks, Navicha accused government of lacking seriousness in the disaster response wondering why no cabinet minister visited the affected people so far.
""I would want to call upon the government to immediately come and provide support to the affected people here. This is not the time to be snoring in offices whilst our friends here are suffering. It's time to jack up and show leadership at all concerned levels"", said.
( In the photo, Navicha assists preparing a meal at Katimbila camp)
( by Winstone Kaimira-Nkhotakota: 03/01/24)
#malawismostfollowedpage","nkhotakota floods",NA,NA,NA,2024-03-01,"0.78055555555555556",NA
"16","#ZBSNews
Member of Parliament for Nkhotakota North Constituency says floods that have affected a number of areas in Nkhotakota district, have negatively impacted on operations in all sectors in Dwangwa township.
He says for instance, business operators have been affected, road connectivity disconnected and provision of water affected as well, apart from displacing thousands of people and claiming some lives.
He also suggested that measures be taken to adequately support flood survivors in recovery.
Minister of Local Government, Richard Chimwendo Banda, said there is  need for more support such as mosquito nets and beddings.
The Minister further asked for transparency in identification of those affected by the flood disaster.
( by Winstone Kaimira - Nkhotakota : 03/04/24)
#malawismostfollowedpage","nkhotakota floods",NA,NA,NA,2024-03-07,"0.59861111111111109",NA
"17","#ZBSNews
Minister of Local Government Richard Chimwendo Banda today visited people that have been affected by floods in Nkhotakota district.
He assured them that government is committed to provide humanitarian support to all the affected people.
The visit by the minister comes amid concerns from some of the flood survivors over limited support being provided by government.
Yesterday, Democratic Progressive Party - DPP leader in Parliament, Mary Navicha, wondered  why cabinet ministers were yet to be on the ground to witness how provision of humanitarian support to the people is going on.
About 9000 people have been affected by floods in the district.
(by Winstone Kaimira-Nkhotakota :03/02/24)
#malawismostfollowedpage","nkhotakota floods",NA,NA,NA,2024-03-02,"0.5493055555555556",NA
"18","#ZBSNews
Notable progress has been made in rehabilitation of two spots that were washed away by floods on the M5 road at Kaombe in Nkhotakota district.
This work is being done jointly by Kelvin Investments Construction Company and CR 20 Construction Company of China according to Public Relations Officer for the Roads Authority, Portia Kajanga.
The road is temporarily closed from Nkhotakota to Dwambazi due to the damage and similar ones at Walemela , Dwangwa and Kasitu.
The floods in Nkhotakota have claimed six lives.
(by Winstone Kaimira-Nkhotakota: 03/04/24)
#malawismostfollowedpage","flooding in nkhotakota, nkhotakota floods","https://web.facebook.com/photo/?fbid=809600317866007&set=a.637876698371704",NA,NA,2024-03-06,"0.76180555555555551",NA
"19","#ZBSNews
One person is confirmed dead after a canoe that was being used to rescue him from flooding water capsized at Dwangwa in Nkhotakota district.
This was disclosed today during a district stakeholders meeting on the floods.
A district level team tasked to mobilize humanitarian support for thousands of people affected by the floods has since been established.
The committee is expected to reach out to organisations as well as individuals, seeking the support according to Nkhotakota District Council Acting Director of Economic Planning and Development, Davies Kavalo.
""Let's work as a family, we are one"", said Kavalo.
(by Winstone Kaimira - Nkhotakota : 02/29/24)
#malawismostfollowedpage","nkhotakota floods",NA,NA,NA,2024-02-29,"0.5395833333333333",NA
"20","#ZBSNews
Parliamentarian for Nkhotakota North Constituency, Henry Chimunthu Banda has called on government to consider bailing out Dwangwa based business operators who lost property worth millions of kwacha in the recent floods through initiatives such as provision of loans.
The member of parliament told us today after visiting floods survivors at Nkhunga Community Day Secondary School Camp that some people were operating large scale businesses such as lodges, garages and restaurants which have been damaged, hence the call.
Chimunthu Banda also said there is need to move with speed in restoring road connectivity between Dwambazi and Nkhotakota section of the M5 road, as it is crucial in transporting sugar which Illovo Sugar Limited produces at its Dwangwa factory.
Meanwhile, the legislator says he is working with various stakeholders to establish temporary camps which will not disturb classes in public schools.
In partnership with stakeholders such as Illovo Sugar Limited, Ethanol, The Malawi Red Cross Society and other well wishers, Chimunthu Banda reached out to a number of camps of the flood survivors in the constituency with relief items.
(by Winstone Kaimira-Nkhotakota :03/04/24)
#malawismostfollowedpage","nkhotakota floods",NA,NA,NA,2024-03-04,"0.77986111111111112",NA
"21","#ZBSNews
People that are being accommodated at Katimbila camp in Nkhotakota district following the recent flood disaster are said to have stayed three days without taking any meal at the camp.
Ward Councillor for the area who is also the Chairperson for Nkhotakota District Council, Charles Chimzukuzuku, says this is because there was a disagreement on provision of some food items  some days ago which prompted the council to suspend provision of any support to the camp.
We understand that a truck carrying bags of maize was returned as some community members that were not affected by the floods wanted to receive the maize together with those staying at the camp, prompting some council officials to take  the maize to another camp.
As the disagreement has now been resolved, the Malawi Gaming and Lotteries Authority has today donated relief items valued at five million kwacha.
Public Relations Officer for the organisation, Nancy Malata, said the support has been provided after observing challenges caused by the flood disaster.
(by Winstone Kaimira-Nkhotakota :03/23/24)
#malawismostfollowedpage","nkhotakota floods",NA,NA,NA,2024-03-23,NA,NA
"22","#ZBSNews
People that were affected by floods and were staying at Matiki and Nyamvuu Primary Schools in Nkhotakota district have been moved to Ngala Camp for provision of education to continue in the public education facilities.
Ngala Camp is at a non-operational private school in Nkhotakota North.
Acting Disaster Risk Management Officer for Nkhotakota, George Zibophe says there are plans to fully support the flood survivors in readiness for the decommissioning of the camps.
He was speaking during distribution of relief items valued at five million kwacha to people at the Ngala Camp, donated by Ripple Africa.
Ripple Africa Project Coordinator for Nkhotakota District, Getrude Odala, said the organisation is concerned with the disaster which has affected people in its catchment area.
(by Winstone Kaimira-Nkhotakota : 03/13/24)
#malawismostfollowedpage","flooding in nkhotakota, nkhotakota floods",NA,NA,NA,2024-03-14,NA,NA
"23","#ZBSNews
President Dr. Lazarus Chakwera says government will support all people that are homeless after the floods in Nkhotakota in recovery.
Speaking at Kanyenda Primary School in the district, the President said measures are being taken to let people leave camps and continue with normal life adding this will also enable schools to open in the affected areas.
He also called on all relevant stakeholders to ensure there is transparency and accountability in provision of support.
(by Winstone Kaimira -  Nkhotakota : 03/04/24)
#malawismostfollowedpage
","nkhotakota floods",NA,NA,NA,2024-03-07,"0.59930555555555554",NA
"24","#ZBSNews
President Lazarus Chakwera is today expected to visit flood survivors in Nkhotakota district.
The president will visit camps that are accommodating people that have been displaced by the floods.
Dr. Chakwera  is traveling from Mzuzu.
He is expected to stop at Mkoma Bridge which has been damaged by floods before going to Dwangwa.
( by Winstone Kaimira-Nkhotakota :03/04/24)
#malawismostfollowedpage","nkhotakota floods",NA,NA,NA,2024-03-07,"0.55000000000000004",NA
"25","#ZBSNews
Some people that were displaced by floods in Nkhotakota district and are staying in camps have called for support to relocate upland in recovery, emphasizing that their land is no longer suitable for settlement.
Speaking today at Kanyenda camp in the district, a representative of the people, Edward Imedi, said identification of new land and payment of relevant costs need to be considered as officials plan for the recovery support.
He was speaking when NBS bank donated some relief items to flood survivors at the camp.
Nkhotakota District Council Director of Administration and Human Resource Victor Chithabwa, said the council is now targeting households in provision of relief support as part of preparations for decommissioning of the camps.
The support which the NBS bank has donated is valued at over four million kwacha.
(by Winstone Kaimira-Nkhotakota:03/15/24)","flooding in nkhotakota","https://web.facebook.com/photo/?fbid=815065270652845&set=a.637876698371704",NA,NA,2024-03-16,NA,NA
"26","#ZBSNews
Some people that were displaced by floods in Nkhotakota district and are staying in camps have called for support to relocate upland in recovery, emphasizing that their land is no longer suitable for settlement.
Speaking today at Kanyenda camp in the district, a representative of the people, Edward Imedi, said identification of new land and payment of relevant costs need to be considered as officials plan for the recovery support.
He was speaking when NBS bank donated some relief items to flood survivors at the camp.
Nkhotakota District Council Director of Administration and Human Resource Victor Chithabwa, said the council is now targeting households in provision of relief support as part of preparations for decommissioning of the camps.
The support which the NBS bank has donated is valued at over four million kwacha.
(by Winstone Kaimira-Nkhotakota:03/15/24)
#malawismostfollowedpage","nkhotakota floods",NA,NA,NA,2024-03-15,"0.6020833333333333",NA
"27","#ZBSNews
Speaking at Dwangwa Trading Center, Minister of Local Government Richard Chimwendo Banda agreed with other stakeholders that business operators who have been affected by the floods in the area need to be considered to revive their businesses.
A representative of traders there, Jossam Ndefu, also called for support in form of loans.
President Dr. Lazarus Chakwera said he visited the area to see the situation on the ground and assure the flood survivors that they will be supported.
He said there is need to redesign on the planned reconstruction works of the M5 road to ensure it is not affected by disasters of this nature.
(by Winstone Kaimira - Nkhotakota : 03/07/2024)
#malawismostfollowedpage","nkhotakota floods",NA,NA,NA,2024-03-07,"0.68402777777777779",NA
"28","#ZBSNews
The Central Medical Stores Trust today donated medicine and medical supplies valued at K17 million to Nkhotakota district health office to assist in provision of treatment to people displaced by floods in the district.
Speaking after receiving the support at Nkhotakota District Hospital, Director of Health Services for the district, Dr. Jacob Kafulafula, said this is timely.
He however indicated that health facilities in the district have run out of medicines for eye diseases at a time some flood survivors have been diagnosed with viral conjunctivitis.
Central Medical Stores Trust Board Chairperson, Josiah Mayani, said the trust is expected to receive a consignment of the medicines for health facilities to effectively respond to the viral conjunctivitis outbreak nationwide.
On the donation, Mayani said it aims at reducing challenges to do with health care which people face in times of such disasters.
(by Winstone Kaimira - Nkhotakota : 03/18/24)
#malawismostfollowedpage","nkhotakota floods",NA,NA,NA,NA,NA,NA
"29","#ZBSNews
The District Council in Nkhotakota says three dead bodies have been found within Dwangwa River today.
It is believed that they are bodies of people who died in the recent flood disaster.
Nkhotakota District Council Acting Disaster Risk Management Officer, George Zibophe says this brings the death toll in the flood disaster to four.
He adds that some people are reported missing but there is no specific number as of now.
(by Winstone Kaimira - Nkhotakota : 03/02/24)
#malawismostfollowedpage","nkhotakota floods",NA,NA,NA,2024-03-02,"0.81041666666666667",NA
"30","#ZBSNews
The Malawi Red Cross Society – MRCS says it is working towards scaling up its disaster response operation this rainy season after observing that the need to support people affected by floods in districts that include Nkhotakota is huge.
MRCS Director of Programs and Social Development, Prisca Chisala said they will intensify resource mobilization and assessments on peoples’ needs to reach out to more flood survivors.
She was speaking today in Nkhotakota district where the organization donated non-food items valued at 125 million kwacha to people that have been affected by floods.
For her part, Chief Disaster Preparedness Officer for the Department of Disaster Management Affairs – DODMA, Natasha Mbengo, said some households that have been affected by the floods in Nkhotakota will need to be allocated new land as their original pieces of land are no longer suitable for settlement.    
She said Nkhotakota District Council will facilitate a process to provide new land.
( by Winstone Kaimira – Nkhotakota : 03/03/24)
#malawismostfollowedpage","nkhotakota floods",NA,NA,NA,2024-03-03,"0.80625000000000002",NA
"31","#ZBSNews
The Society of Medical Doctor in Malawi says it is mobilizing logistical support to deploy a team of ten medical doctors to support provision of health services to thousands of people that have been affected by floods in Nkhotakota district.
In an interview this morning, President for the body, Dr. Victor Mithi said they plan to have services such as provision of psychosocial support offered in ten days.
""We are calling upon other stakeholders and well wishers to help us in terms of logistical support, but the team is ready and we are talking to different stakeholders so that the team can go"", said Dr. Mithi.
About 7000 people have been rendered homeless by the floods in Nkhotakota district.
(by Winstone Kaimira -Nkhotakota:03/01/24)","flooding in nkhotakota","https://web.facebook.com/photo/?fbid=806264201532952&set=a.637876698371704",NA,NA,2024-03-01,"0.51527777777777772",NA
"32","#ZBSNews
The Society of Medical Doctor in Malawi says it is mobilizing logistical support to deploy a team of ten medical doctors to support provision of health services to thousands of people that have been affected by floods in Nkhotakota district.
In an interview this morning, President for the body, Dr. Victor Mithi said they plan to have services such as provision of psychosocial support offered in ten days.
""We are calling upon other stakeholders and well wishers to help us in terms of logistical support, but the team is ready and we are talking to different stakeholders so that the team can go"", said Dr. Mithi.
About 7000 people have been rendered homeless by the floods in Nkhotakota district.
(by Winstone Kaimira -Nkhotakota:03/01/24)
#malawismostfollowedpage","nkhotakota floods",NA,NA,NA,2024-03-01,"0.51527777777777772",NA
"33","#ZBSNews
The World Health Organisation has provided essential medical drugs to Nkhotakota District Hospital to carter for ten thousand flood survivors for three months.
Nkhotakota District Director of Health Services Dr. Jacob Kafulafula, confirmed this to us today adding that WHO has also deployed an emergency medical team to assist providing health care to the people for two weeks.
“We were sending staff from the district hospital to do the work in the affected areas. Currently we have established an emergency operating theatre at Matiki – Dwangwa, so the team will be operating there” he said in an interview today.
Nkhotakota District Commissioner, Ben Tonho, says there are a number of other institutions that are providing support such as Illovo Sugar Malawi, Ethanol Company Limited (ETHCO), The Malawi Red Cross Society, UNICEF, United States Agency for International Development - USAID , Embassy of Iceland and Radio Islam.
“We still appeal to other well-wishers to support the efforts in the district, the devastation is very huge. I should also thank DODMA because they have assisted us with a team to support on data collection so that we can have a response plan for several partners to join hands and make sure that we have recovery in the district”, said Tonho.  
( by Winstone Kaimira - Nkhotakota : 03/06/24)
#malawismostfollowedpage","nkhotakota floods",NA,NA,NA,2024-03-06,"0.55625000000000002",NA
"34","#ZBSNews
The health office in Nkhotakota says 15 cases of conjunctivitis disease have been registered in camps that are accommodating flood survivors at Dwangwa in the district.   
Director of Health Services in the district, Dr. Jacob Kafulafula, says people suffering from the disease which is also known as “pink eye” have since been isolated to control its spread.
“We have also encouraged people to use hygiene measures such as washing hands and not sharing utensils”, said Dr. Kafulafula adding that clinical services are being offered in the camps.  
He however expressed concern over the tendency of using traditional medicines to treat the disease saying this is leading to some complications.
A total of 116 cases of the disease have been registered in health facilities of the district namely Nkhunga, Matiki, Ngala and Mtosa according to Dr. Kafulafula.
( by Winstone Kaimira - Nkhotakota : 03/10/24)
#malawismostfollowedpage","nkhotakota floods",NA,NA,NA,2024-03-10,"0.61597222222222225",NA
"35","#ZBSNews
This is a house of a teacher at Chauma Primary School which has been temporarily closed due to floods in Nkhotakota district.
The government owned Junior Primary School was opened in 1995 according to Headmaster, Dustan Kwacha.
It has three makeshift houses and one which was constructed using cement bricks.
Kwacha says two houses of this nature were constructed under the School Improvement Grant - SIG to reduce the challenge of shortage of teacher houses.
There is also a borehole which was submerged in water during the floods but is now being used although the headmaster says sometimes frogs have been coming out together with water meant for drinking.
( by Winstone Kaimira - Nkhotakota : 03/09/24)
#malawismostfollowedpage","flooding in nkhotakota, nkhotakota floods","https://web.facebook.com/photo/?fbid=811354257690613&set=pcb.811354314357274",NA,NA,2024-03-09,"0.61388888888888893",NA
"36","#ZBSNews
Two more deaths have been confirmed in the Nkhotakota flood disaster bringing the death toll to six.
This is according to an assessment report which Nkhotakota District Council has released today.
The number of camps accommodating flood survivors now stands at 12 up from 10 while total number of the affected people is at 14,249.
( by Winstone Kaimira-Nkhotakota:03/05/24)
#malawismostfollowedpage","nkhotakota floods",NA,NA,NA,2024-03-05,"0.79513888888888884",NA
"37","#ZBSNews 
President Lazarus Chakwera is this morning attending church prayer service at Mchengautuwa CCAP church of the Livingstonia Synod.
President Chakwera is operating from the northern region city of Mzuzu since  29th February where he is engaged in a number of official duties including  inspecting various development projects.
So far, the President has  presided over the Martyr's day commemorations in Nkhatabay, visited the Dwangwa flood disaster site, he has also visited  the Mzuzu main and Zigwagwa markets to appreciate challenges vendors are facing.
At the church service this morning, Synod Moderator Reverend Reuben Msowoya is leading the sermon themed 'Raise the bar do not get weary', where he stresses on raising ones standards for progression, mindset change and love for one another.
(Angela Mkandawire- Mzuzu:03/10/2024)
#Malawismostfollowedpage","dwangwa floods",NA,NA,NA,2024-03-10,"0.48819444444444443",NA
"38","#ZBSNews Parliamentarian for Nkhotakota North Constituency, Henry Chimunthu Banda has called on government to consider bailing out Dwangwa based business operators who lost property worth millions of kwacha in the recent floods through initiatives such as provision of loans. The member of parliament told us today after visiting floods survivors at Nkhunga Community Day Secondary School Camp that some people were operating large scale businesses such as lodges, garages and restaurants which have been damaged, hence the call. Meanwhile, the legislator says he is working with various stakeholders to establish temporary camps which will not disturb classes in public schools. In partnership with stakeholders such as Illovo Sugar Limited, Ethanol, The Malawi Red Cross Society and other well wishers, Chimunthu Banda reached out to a number of camps of the flood survivors in the constituency with relief items. (by Winstone Kaimira-Nkhotakota :03/04/24) #malawismostfollowedpage","flooding in nkhotakota","https://web.facebook.com/photo/?fbid=808344711324901&set=a.637876698371704",NA,NA,2024-03-04,NA,NA
"39","#room265news #Nkhotakotaflashfloods
Anthu asanu9), omwe adatsakamira m'mitengo kamba ka madzi osefukira, tsopano awapulumutsa mdera la mfumu yayikulu Kanyenda ku Dwangwa m'boma la Nkhotakota.
M'modzi mwa ogwira ntchito ku khonsolo ya m'bomali yemwenso akugwira ntchito yopulumutsa anthuwa, a John Manda wati ena mwa anthuwa apulumutsidwa usiku ndi apolisi aku Nkhunga.
Zinthu zafika poipa kwambiri m'bomali pomwe nyumba komanso ina yakokoloka pomwe misewu ina ikuduka kamba ka madzi osefukirawa.
Anthu ena akupitilirabe kugwira njakata pomwe maboti omwe akugwiritsidwa ntchito pa ntchito yopulumutsa anthuyi sakugwira ntchito moyenera kamba kakuchuluka kwa madzi.
Pakadalipano, mvula yakata pa Nkhotakota Boma pomwe ku Dwangwa komwe madziwa avuta kwambiri ikupitilirabe.
Wolemba: Samuel Duncan (9), omwe adatsakamira m'mitengo kamba ka madzi osefukira, tsopano awapulumutsa mdera la mfumu yayikulu Kanyenda ku Dwangwa m'boma la Nkhotakota.
M'modzi mwa ogwira ntchito ku khonsolo ya m'bomali yemwenso akugwira ntchito yopulumutsa anthuwa, a John Manda wati ena mwa anthuwa apulumutsidwa usiku ndi apolisi aku Nkhunga.
Zinthu zafika poipa kwambiri m'bomali pomwe nyumba komanso ina yakokoloka pomwe misewu ina ikuduka kamba ka madzi osefukirawa.
Anthu ena akupitilirabe kugwira njakata pomwe maboti omwe akugwiritsidwa ntchito pa ntchito yopulumutsa anthuyi sakugwira ntchito moyenera kamba kakuchuluka kwa madzi.
Pakadalipano, mvula yakata pa Nkhotakota Boma pomwe ku Dwangwa komwe madziwa avuta kwambiri ikupitilirabe.
Wolemba: Samuel Duncan","Madzi osefukira ku dwangwa","https://web.facebook.com/permalink.php?story_fbid=pfbid02sinrQBCvxRJf41ZTKrAKq5fDUr8oNEk2AvXNZJumTsbJkkdc9hrAZFPALVhE1enWl&id=100079468324744","Dwangwa",NA,2024-02-29,"0.4",NA
"40","*2024 NkhotaKota Malawi Floods Relief Appeal*

Dear Folks,

Nkhotakota (KK) District in the Central Region of Malawi has been battered by heavy rains that caused flooding.

At least 6 People…

Read more here https://gofund.me/4d86b9ec

Forward this message to your contacts to help this campaign reach its goal! See less","nkhotakota floods",NA,NA,NA,2024-03-13,NA,NA
